Table 4
2.5 m Telescope Reference Response Function and Adopted Atmospheric Transmission for APO (Air Mass = 1.3)

lambda	u	g	r	i	z	T_1.3 air mass	
6340	 ... 	 ... 	0.5477	 ... 	 ... 	0.9114	
6360	 ... 	 ... 	0.5485	 ... 	 ... 	0.9123	
6380	 ... 	 ... 	0.5488	 ... 	 ... 	0.9133	
6400	 ... 	 ... 	0.5480	 ... 	 ... 	0.9142	
6420	 ... 	 ... 	0.5472	 ... 	 ... 	0.9152	
6440	 ... 	 ... 	0.5464	 ... 	 ... 	0.9161	
6460	 ... 	 ... 	0.5455	 ... 	 ... 	0.9171	
6480	 ... 	 ... 	0.5449	 ... 	 ... 	0.9180	
6500	 ... 	 ... 	0.5450	 ... 	 ... 	0.9190	
6520	 ... 	 ... 	0.5450	 ... 	 ... 	0.9194	
6540	 ... 	 ... 	0.5447	 ... 	 ... 	0.9198	
6560	 ... 	 ... 	0.5435	 ... 	 ... 	0.9202	
6580	 ... 	 ... 	0.5423	 ... 	 ... 	0.9206	
6600	 ... 	 ... 	0.5394	0.0002	 ... 	0.9210	
6620	 ... 	 ... 	0.5324	0.0008	 ... 	0.9214	
6640	 ... 	 ... 	0.5190	0.0012	 ... 	0.9217	
6660	 ... 	 ... 	0.4992	0.0017	 ... 	0.9221	
6680	 ... 	 ... 	0.4683	0.0026	 ... 	0.9225	
6700	 ... 	 ... 	0.4230	0.0046	 ... 	0.9228	
6720	 ... 	 ... 	0.3685	0.0080	 ... 	0.9232	
6740	 ... 	 ... 	0.3030	0.0131	 ... 	0.9236	
6760	 ... 	 ... 	0.2344	0.0226	 ... 	0.9239	
6780	 ... 	 ... 	0.1724	0.0365	 ... 	0.9243	
6800	 ... 	 ... 	0.1212	0.0560	 ... 	0.9246	
6820	 ... 	 ... 	0.0842	0.0834	 ... 	0.9250	
6840	 ... 	 ... 	0.0556	0.1162	 ... 	0.9027	
6860	 ... 	 ... 	0.0370	0.1553	 ... 	0.8804	
6880	 ... 	 ... 	0.0273	0.1952	 ... 	0.8581	
6900	 ... 	 ... 	0.0201	0.2377	 ... 	0.8722	
6920	 ... 	 ... 	0.0130	0.2839	 ... 	0.8863	
6940	 ... 	 ... 	0.0097	0.3222	 ... 	0.9004	
6960	 ... 	 ... 	0.0076	0.3565	 ... 	0.9145	
6980	 ... 	 ... 	0.0054	0.3869	 ... 	0.9286	
7000	 ... 	 ... 	0.0036	0.4104	 ... 	0.9298	
7020	 ... 	 ... 	0.0019	0.4301	 ... 	0.9301	
7040	 ... 	 ... 	0.0003	0.4458	 ... 	0.9305	
7060	 ... 	 ... 	 ... 	0.4565	 ... 	0.9308	
7080	 ... 	 ... 	 ... 	0.4648	 ... 	0.9312	
7100	 ... 	 ... 	 ... 	0.4706	 ... 	0.9315	
7120	 ... 	 ... 	 ... 	0.4764	 ... 	0.9319	
7140	 ... 	 ... 	 ... 	0.4791	 ... 	0.9322	
7160	 ... 	 ... 	 ... 	0.4814	 ... 	0.8928	
7180	 ... 	 ... 	 ... 	0.4823	 ... 	0.8533	
7200	 ... 	 ... 	 ... 	0.4815	 ... 	0.8703	
7220	 ... 	 ... 	 ... 	0.4806	 ... 	0.8873	
7240	 ... 	 ... 	 ... 	0.4771	 ... 	0.8896	
7260	 ... 	 ... 	 ... 	0.4732	 ... 	0.8919	
7280	 ... 	 ... 	 ... 	0.4694	 ... 	0.8942	
7300	 ... 	 ... 	 ... 	0.4655	 ... 	0.8966	
7320	 ... 	 ... 	 ... 	0.4617	 ... 	0.9156	
7340	 ... 	 ... 	 ... 	0.4578	 ... 	0.9346	
7360	 ... 	 ... 	 ... 	0.4539	 ... 	0.9358	
7380	 ... 	 ... 	 ... 	0.4505	 ... 	0.9365	
7400	 ... 	 ... 	 ... 	0.4477	 ... 	0.9371	
7420	 ... 	 ... 	 ... 	0.4449	 ... 	0.9371	
7440	 ... 	 ... 	 ... 	0.4421	 ... 	0.9371	
7460	 ... 	 ... 	 ... 	0.4393	 ... 	0.9371	
7480	 ... 	 ... 	 ... 	0.4364	 ... 	0.9371	
7500	 ... 	 ... 	 ... 	0.4335	 ... 	0.9371	
7520	 ... 	 ... 	 ... 	0.4306	 ... 	0.9371	
7540	 ... 	 ... 	 ... 	0.4264	 ... 	0.9371	
7560	 ... 	 ... 	 ... 	0.4220	 ... 	0.9371	
7580	 ... 	 ... 	 ... 	0.4176	 ... 	0.9209	
7600	 ... 	 ... 	 ... 	0.4132	 ... 	0.5647	
7620	0.000003	 ... 	 ... 	0.4088	 ... 	0.6334	
7640	0.000044	 ... 	 ... 	0.4042	 ... 	0.6037	
7660	0.000149	 ... 	 ... 	0.3996	 ... 	0.7830	
7680	0.000258	 ... 	 ... 	0.3951	0.0000	0.9396	
7700	0.000397	 ... 	 ... 	0.3905	0.0000	0.9407	
7720	0.000553	 ... 	 ... 	0.3860	0.0001	0.9410	
7740	0.000676	 ... 	 ... 	0.3815	0.0001	0.9412	
7760	0.000675	 ... 	 ... 	0.3770	0.0001	0.9415	
7780	0.000551	 ... 	 ... 	0.3725	0.0001	0.9417	
7800	0.000403	 ... 	 ... 	0.3680	0.0002	0.9420	
7820	0.000276	 ... 	 ... 	0.3636	0.0002	0.9422	
7840	0.000179	 ... 	 ... 	0.3610	0.0002	0.9424	
7860	0.000093	 ... 	 ... 	0.3586	0.0003	0.9427	
7880	0.000044	 ... 	 ... 	0.3562	0.0004	0.9429	
7900	0.000026	 ... 	 ... 	0.3539	0.0006	0.9432	
7920	0.000011	 ... 	 ... 	0.3515	0.0008	0.9433	
7940	0.000007	 ... 	 ... 	0.3492	0.0010	0.9434	
7960	 ... 	 ... 	 ... 	0.3469	0.0012	0.9435	
7980	 ... 	 ... 	 ... 	0.3449	0.0016	0.9437	
8000	 ... 	 ... 	 ... 	0.3432	0.0023	0.9438	
8020	 ... 	 ... 	 ... 	0.3411	0.0030	0.9439	
8040	 ... 	 ... 	 ... 	0.3388	0.0044	0.9440	
8060	 ... 	 ... 	 ... 	0.3362	0.0059	0.9442	
8080	 ... 	 ... 	 ... 	0.3328	0.0078	0.9443	
8100	 ... 	 ... 	 ... 	0.3279	0.0105	0.9444	
8120	 ... 	 ... 	 ... 	0.3215	0.0132	0.9205	
8140	 ... 	 ... 	 ... 	0.3043	0.0171	0.8966	
8160	 ... 	 ... 	 ... 	0.2763	0.0212	0.8966	
8180	 ... 	 ... 	 ... 	0.2379	0.0257	0.8966	
8200	 ... 	 ... 	 ... 	0.1857	0.0309	0.8966	
8220	 ... 	 ... 	 ... 	0.1355	0.0362	0.8966	
8240	 ... 	 ... 	 ... 	0.0874	0.0415	0.8966	
8260	 ... 	 ... 	 ... 	0.0578	0.0467	0.8966	
8280	 ... 	 ... 	 ... 	0.0360	0.0519	0.8966	
8300	 ... 	 ... 	 ... 	0.0212	0.0570	0.8966	
8320	 ... 	 ... 	 ... 	0.0144	0.0621	0.9167	
8340	 ... 	 ... 	 ... 	0.0094	0.0664	0.9368	
8360	 ... 	 ... 	 ... 	0.0061	0.0705	0.9469	
8380	 ... 	 ... 	 ... 	0.0020	0.0742	0.9470	
8400	 ... 	 ... 	 ... 	 ... 	0.0773	0.9470	
8420	 ... 	 ... 	 ... 	 ... 	0.0803	0.9471	
8440	 ... 	 ... 	 ... 	 ... 	0.0824	0.9472	
8460	 ... 	 ... 	 ... 	 ... 	0.0845	0.9473	
8480	 ... 	 ... 	 ... 	 ... 	0.0861	0.9474	
8500	 ... 	 ... 	 ... 	 ... 	0.0871	0.9475	
8520	 ... 	 ... 	 ... 	 ... 	0.0882	0.9476	
8540	 ... 	 ... 	 ... 	 ... 	0.0893	0.9477	
8560	 ... 	 ... 	 ... 	 ... 	0.0904	0.9478	
8580	 ... 	 ... 	 ... 	 ... 	0.0911	0.9479	
8600	 ... 	 ... 	 ... 	 ... 	0.0912	0.9480	
8620	 ... 	 ... 	 ... 	 ... 	0.0913	0.9481	
8640	 ... 	 ... 	 ... 	 ... 	0.0915	0.9482	
8660	 ... 	 ... 	 ... 	 ... 	0.0917	0.9483	
8680	 ... 	 ... 	 ... 	 ... 	0.0914	0.9484	
8700	 ... 	 ... 	 ... 	 ... 	0.0906	0.9484	
8720	 ... 	 ... 	 ... 	 ... 	0.0898	0.9485	
8740	 ... 	 ... 	 ... 	 ... 	0.0889	0.9486	
8760	 ... 	 ... 	 ... 	 ... 	0.0881	0.9487	
8780	 ... 	 ... 	 ... 	 ... 	0.0869	0.9488	
8800	 ... 	 ... 	 ... 	 ... 	0.0854	0.9489	
8820	 ... 	 ... 	 ... 	 ... 	0.0838	0.9490	
8840	 ... 	 ... 	 ... 	 ... 	0.0822	0.9491	
8860	 ... 	 ... 	 ... 	 ... 	0.0806	0.9492	
8880	 ... 	 ... 	 ... 	 ... 	0.0790	0.9493	
8900	 ... 	 ... 	 ... 	 ... 	0.0772	0.9493	
8920	 ... 	 ... 	 ... 	 ... 	0.0755	0.9190	
8940	 ... 	 ... 	 ... 	 ... 	0.0738	0.8888	
8960	 ... 	 ... 	 ... 	 ... 	0.0720	0.8585	
8980	 ... 	 ... 	 ... 	 ... 	0.0704	0.8282	
9000	 ... 	 ... 	 ... 	 ... 	0.0688	0.8387	
9020	 ... 	 ... 	 ... 	 ... 	0.0672	0.8492	
9040	 ... 	 ... 	 ... 	 ... 	0.0656	0.8597	
9060	 ... 	 ... 	 ... 	 ... 	0.0640	0.8701	
9080	 ... 	 ... 	 ... 	 ... 	0.0625	0.8701	
9100	 ... 	 ... 	 ... 	 ... 	0.0612	0.8701	
9120	 ... 	 ... 	 ... 	 ... 	0.0598	0.8701	
9140	 ... 	 ... 	 ... 	 ... 	0.0585	0.8701	
9160	 ... 	 ... 	 ... 	 ... 	0.0571	0.8701	
9180	 ... 	 ... 	 ... 	 ... 	0.0559	0.8701	
9200	 ... 	 ... 	 ... 	 ... 	0.0547	0.8701	
9220	 ... 	 ... 	 ... 	 ... 	0.0535	0.8701	
9240	 ... 	 ... 	 ... 	 ... 	0.0523	0.8701	
9260	 ... 	 ... 	 ... 	 ... 	0.0511	0.8701	
9280	 ... 	 ... 	 ... 	 ... 	0.0499	0.8043	
9300	 ... 	 ... 	 ... 	 ... 	0.0487	0.7385	
9320	 ... 	 ... 	 ... 	 ... 	0.0475	0.6727	
9340	 ... 	 ... 	 ... 	 ... 	0.0463	0.6069	
9360	 ... 	 ... 	 ... 	 ... 	0.0451	0.5861	
9380	 ... 	 ... 	 ... 	 ... 	0.0440	0.6104	
9400	 ... 	 ... 	 ... 	 ... 	0.0430	0.6346	
9420	 ... 	 ... 	 ... 	 ... 	0.0420	0.6588	
9440	 ... 	 ... 	 ... 	 ... 	0.0410	0.6365	
9460	 ... 	 ... 	 ... 	 ... 	0.0400	0.6142	
9480	 ... 	 ... 	 ... 	 ... 	0.0390	0.6331	
9500	 ... 	 ... 	 ... 	 ... 	0.0379	0.6520	
9520	 ... 	 ... 	 ... 	 ... 	0.0369	0.6491	
9540	 ... 	 ... 	 ... 	 ... 	0.0358	0.6461	
9560	 ... 	 ... 	 ... 	 ... 	0.0347	0.6728	
9580	 ... 	 ... 	 ... 	 ... 	0.0337	0.6994	
9600	 ... 	 ... 	 ... 	 ... 	0.0327	0.7322	
9620	 ... 	 ... 	 ... 	 ... 	0.0317	0.7651	
9640	 ... 	 ... 	 ... 	 ... 	0.0307	0.8003	
9660	 ... 	 ... 	 ... 	 ... 	0.0297	0.8355	
9680	 ... 	 ... 	 ... 	 ... 	0.0287	0.8707	
9700	 ... 	 ... 	 ... 	 ... 	0.0276	0.9059	
9720	 ... 	 ... 	 ... 	 ... 	0.0266	0.8880	
9740	 ... 	 ... 	 ... 	 ... 	0.0256	0.8701	
9760	 ... 	 ... 	 ... 	 ... 	0.0245	0.8846	
9780	 ... 	 ... 	 ... 	 ... 	0.0235	0.8990	
9800	 ... 	 ... 	 ... 	 ... 	0.0226	0.9135	
9820	 ... 	 ... 	 ... 	 ... 	0.0216	0.9279	
9840	 ... 	 ... 	 ... 	 ... 	0.0206	0.9423	
9860	 ... 	 ... 	 ... 	 ... 	0.0196	0.9568	
9880	 ... 	 ... 	 ... 	 ... 	0.0186	0.9568	
9900	 ... 	 ... 	 ... 	 ... 	0.0176	0.9568	
9920	 ... 	 ... 	 ... 	 ... 	0.0166	0.9568	
9940	 ... 	 ... 	 ... 	 ... 	0.0156	0.9568	
9960	 ... 	 ... 	 ... 	 ... 	0.0147	0.9568	
9980	 ... 	 ... 	 ... 	 ... 	0.0138	0.9569	
10000	 ... 	 ... 	 ... 	 ... 	0.0132	0.9569	
10020	 ... 	 ... 	 ... 	 ... 	0.0125	0.9569	
10040	 ... 	 ... 	 ... 	 ... 	0.0119	0.9569	
10060	 ... 	 ... 	 ... 	 ... 	0.0113	0.9569	
10080	 ... 	 ... 	 ... 	 ... 	0.0106	0.9570	
10100	 ... 	 ... 	 ... 	 ... 	0.0099	0.9570	
10120	 ... 	 ... 	 ... 	 ... 	0.0093	0.9570	
10140	 ... 	 ... 	 ... 	 ... 	0.0086	0.9570	
10160	 ... 	 ... 	 ... 	 ... 	0.0080	0.9570	
10180	 ... 	 ... 	 ... 	 ... 	0.0074	0.9571	
10200	 ... 	 ... 	 ... 	 ... 	0.0070	0.9571	
10220	 ... 	 ... 	 ... 	 ... 	0.0065	0.9571	
10240	 ... 	 ... 	 ... 	 ... 	0.0061	0.9571	
10260	 ... 	 ... 	 ... 	 ... 	0.0056	0.9571	
10280	 ... 	 ... 	 ... 	 ... 	0.0052	0.9571	
10300	 ... 	 ... 	 ... 	 ... 	0.0047	0.9572	
10320	 ... 	 ... 	 ... 	 ... 	0.0042	0.9572	
10340	 ... 	 ... 	 ... 	 ... 	0.0038	0.9572	
10360	 ... 	 ... 	 ... 	 ... 	0.0033	0.9572	
10380	 ... 	 ... 	 ... 	 ... 	0.0030	0.9572	
10400	 ... 	 ... 	 ... 	 ... 	0.0029	0.9573	
10420	 ... 	 ... 	 ... 	 ... 	0.0027	0.9573	
10440	 ... 	 ... 	 ... 	 ... 	0.0026	0.9573	
10460	 ... 	 ... 	 ... 	 ... 	0.0024	0.9573	
10480	 ... 	 ... 	 ... 	 ... 	0.0022	0.9573	
10500	 ... 	 ... 	 ... 	 ... 	0.0021	0.9574	
10520	 ... 	 ... 	 ... 	 ... 	0.0019	0.9574	
10540	 ... 	 ... 	 ... 	 ... 	0.0018	0.9574	
10560	 ... 	 ... 	 ... 	 ... 	0.0016	0.9574	
10580	 ... 	 ... 	 ... 	 ... 	0.0015	0.9574	
10600	 ... 	 ... 	 ... 	 ... 	0.0014	0.9574	
10620	 ... 	 ... 	 ... 	 ... 	0.0013	0.9575	
10640	 ... 	 ... 	 ... 	 ... 	0.0012	0.9575	
10660	 ... 	 ... 	 ... 	 ... 	0.0012	0.9575	
10680	 ... 	 ... 	 ... 	 ... 	0.0011	0.9575	
10700	 ... 	 ... 	 ... 	 ... 	0.0010	0.9575	
10720	 ... 	 ... 	 ... 	 ... 	0.0009	0.9576	
10740	 ... 	 ... 	 ... 	 ... 	0.0008	0.9576	
10760	 ... 	 ... 	 ... 	 ... 	0.0007	0.9576	
10780	 ... 	 ... 	 ... 	 ... 	0.0007	0.9576	
10800	 ... 	 ... 	 ... 	 ... 	0.0007	0.9576	
10820	 ... 	 ... 	 ... 	 ... 	0.0006	0.9577	
10840	 ... 	 ... 	 ... 	 ... 	0.0006	0.9577	
10860	 ... 	 ... 	 ... 	 ... 	0.0006	0.9577	
10880	 ... 	 ... 	 ... 	 ... 	0.0005	0.9577	
10900	 ... 	 ... 	 ... 	 ... 	0.0005	0.9577	
10920	 ... 	 ... 	 ... 	 ... 	0.0005	0.9577	
10940	 ... 	 ... 	 ... 	 ... 	0.0004	0.9578	
10960	 ... 	 ... 	 ... 	 ... 	0.0004	0.9578	
10980	 ... 	 ... 	 ... 	 ... 	0.0004	0.9578	
11000	 ... 	 ... 	 ... 	 ... 	0.0003	0.9578	
11020	 ... 	 ... 	 ... 	 ... 	0.0003	0.9578	
11040	 ... 	 ... 	 ... 	 ... 	0.0002	0.9579	
11060	 ... 	 ... 	 ... 	 ... 	0.0002	0.9579	
